art_hist_1,art_hist_2,artist_or_period,"Does any relation 
exist between 
the two historians?","Is the relation recorded 
in at least one 
historian biography 
available on ARTchives?","Did they collaborate / interact 
on the period/artist at hand?","Is historian 2 relevant 
to historian 1's archive?","Is historian 2 mentioned 
as subject of historian 1's 
archive on ARTchives? ","Is historian 1 relevant 
to historian 2's archive?","Is historian 1 mentioned
 as subject of historian 2's 
archive on ARTchives? ","Is the relation recorded 
in both the 
historians' biographies 
available on ARTchives?"
Wolfgang Lotz,Federico Zeri,renaissance,1,0,,,0,0,0,0
Wolfgang Lotz,Stefano Tumidei,renaissance,0,0,0,0,0,0,0,0
Wolfgang Lotz,Ernst Steinmann,renaissance,1,0,,,0,,0,0
Wolfgang Lotz,Leo Steinberg,renaissance,1,1,1,,0,1,0,0
Wolfgang Lotz,Werner Cohn,renaissance,0,0,0,0,0,,0,0
Wolfgang Lotz,Ulrich Middeldorf,renaissance,1,0,,,0,0,0,0
Wolfgang Lotz,Kornél Fabriczy,renaissance,0,0,0,0,0,0,0,0
Wolfgang Lotz,Everett Fahy,16th century,"0,5",0,,,0,0,0,0
Wolfgang Lotz,Fritz Heinemann,16th century,0,0,0,0,0,0,0,0
Wolfgang Lotz,Julian Kliemann,16th century,1,0,,,0,0,0,0
Wolfgang Lotz,Luisa Vertova,16th century,"0,5",0,,,0,0,0,0
Wolfgang Lotz,Federico Zeri,16th century,1,0,,,0,0,0,0
Wolfgang Lotz,Stefano Tumidei,16th century,0,0,0,0,0,0,0,0
Wolfgang Lotz,Gustav Ludwig,16th century,0,0,0,0,0,0,0,0
Wolfgang Lotz,Kurt Badt,16th century,0,0,0,0,0,,0,0
Wolfgang Lotz,Julius S. Held,16th century,1,0,1,,0,0,0,0
Wolfgang Lotz,Fritz Heinemann,baroque,0,0,0,0,0,,0,0
Wolfgang Lotz,Richard Krautheimer,baroque,1,1,1,1,1,1,1,1
Wolfgang Lotz,Julian Kliemann,baroque,1,0,,,0,0,0,0
Wolfgang Lotz,Federico Zeri,baroque,1,0,,,0,0,0,0
Wolfgang Lotz,Stefano Tumidei,baroque,0,0,0,0,0,0,0,0
Wolfgang Lotz,Kurt Badt,baroque,0,0,0,,0,,0,0
Wolfgang Lotz,Ellis Waterhouse,baroque,1,0,,,0,0,0,0
Wolfgang Lotz,Luigi Salerno,baroque,1,0,,,0,1,0,0
Wolfgang Lotz,Fritz Heinemann,17th century,0,0,0,0,0,,0,0
Wolfgang Lotz,Julian Kliemann,17th century,1,0,,,0,0,0,0
Wolfgang Lotz,Luisa Vertova,17th century,0,0,,,0,0,0,0
Wolfgang Lotz,Federico Zeri,17th century,1,0,,,0,0,0,0
Wolfgang Lotz,Stefano Tumidei,17th century,0,0,0,0,0,0,0,0
Wolfgang Lotz,Julius S. Held,17th century,1,0,1,,0,0,0,0
Wolfgang Lotz,Luigi Salerno,17th century,1,0,,,0,1,0,0
Wolfgang Lotz,Richard Krautheimer,Gian Lorenzo Bernini,1,1,,1,1,1,1,1
Wolfgang Lotz,Federico Zeri,Gian Lorenzo Bernini,1,0,,,0,0,0,0
Wolfgang Lotz,Stefano Tumidei,Gian Lorenzo Bernini,0,0,0,0,0,0,0,0
